date,close,open,high,low,volume
2023-08-29T00:00:00+05:30,415.43,418.12,419.11,414.58,10043047.0
2023-08-30T00:00:00+05:30,417.98,416.28,419.11,415.8,7802347.0
2023-08-31T00:00:00+05:30,415.05,418.16,419.96,411.65,21082248.0
2023-09-01T00:00:00+05:30,416.32,415.33,420.05,413.73,12117996.0
2023-09-04T00:00:00+05:30,412.97,418.49,418.49,412.17,14412624.0
2023-09-05T00:00:00+05:30,418.26,414.29,419.58,413.92,8876562.0
2023-09-06T00:00:00+05:30,422.36,419.06,423.36,417.22,13627011.0
2023-09-07T00:00:00+05:30,420.9,423.64,423.83,419.67,8570879.0
2023-09-08T00:00:00+05:30,417.83,422.79,422.79,417.08,10529853.0
2023-09-11T00:00:00+05:30,422.13,421.0,422.98,417.83,9874152.0
2023-09-12T00:00:00+05:30,425.86,423.73,428.83,420.62,15262080.0
2023-09-13T00:00:00+05:30,428.08,426.85,431.38,425.81,12514788.0
2023-09-14T00:00:00+05:30,424.72,430.34,430.34,422.08,15288024.0
2023-09-15T00:00:00+05:30,423.21,422.93,426.75,421.94,15972610.0
2023-09-18T00:00:00+05:30,426.71,423.21,428.55,421.18,8684293.0
2023-09-20T00:00:00+05:30,427.56,426.38,429.59,424.35,10551181.0
2023-09-21T00:00:00+05:30,422.41,427.41,428.12,419.58,11356130.0
2023-09-22T00:00:00+05:30,418.26,422.41,423.26,417.46,7952130.0
2023-09-25T00:00:00+05:30,417.79,418.26,419.86,413.77,6126421.0
2023-09-26T00:00:00+05:30,417.64,418.73,419.58,415.05,5644268.0
2023-09-27T00:00:00+05:30,423.97,417.64,424.58,414.2,11113863.0
2023-09-28T00:00:00+05:30,416.04,424.72,424.72,414.95,10823537.0
2023-09-29T00:00:00+05:30,419.49,417.22,420.62,414.58,8644707.0
2023-10-03T00:00:00+05:30,415.1,416.28,418.07,414.62,7926253.0
2023-10-04T00:00:00+05:30,411.65,415.1,416.94,409.01,14192378.0
2023-10-05T00:00:00+05:30,411.6,415.33,415.8,410.66,10625982.0
2023-10-06T00:00:00+05:30,417.36,413.3,418.73,412.17,8918583.0
2023-10-09T00:00:00+05:30,415.76,416.23,418.35,412.74,5944416.0
2023-10-10T00:00:00+05:30,419.49,415.76,419.91,415.76,5312598.0
2023-10-11T00:00:00+05:30,423.12,422.13,424.25,419.86,8105958.0
2023-10-12T00:00:00+05:30,425.43,424.44,427.13,421.14,12473807.0
2023-10-13T00:00:00+05:30,423.21,424.63,426.47,421.94,8085798.0
2023-10-16T00:00:00+05:30,423.78,422.88,425.72,421.18,4465296.0
2023-10-17T00:00:00+05:30,428.03,424.58,429.02,423.83,7348179.0
2023-10-18T00:00:00+05:30,426.33,428.78,432.51,425.72,7304457.0
2023-10-19T00:00:00+05:30,425.15,424.54,429.4,421.8,10027644.0
2023-10-20T00:00:00+05:30,413.73,420.05,423.83,412.83,13793688.0
2023-10-23T00:00:00+05:30,411.46,413.44,415.29,408.82,7707582.0
2023-10-25T00:00:00+05:30,408.44,412.41,413.44,403.11,11535963.0
2023-10-26T00:00:00+05:30,410.0,405.47,412.12,405.47,19917872.0
2023-10-27T00:00:00+05:30,409.43,410.0,412.31,407.97,13912463.0
2023-10-30T00:00:00+05:30,406.32,410.19,412.64,404.34,8070489.0
2023-10-31T00:00:00+05:30,404.38,405.89,409.06,403.91,9132129.0
2023-11-01T00:00:00+05:30,404.1,405.89,406.93,401.65,8464808.0
2023-11-02T00:00:00+05:30,406.98,405.94,408.44,404.62,8636203.0
2023-11-03T00:00:00+05:30,408.96,408.54,410.05,406.93,14622376.0
2023-11-06T00:00:00+05:30,410.94,409.2,412.31,408.3,7742285.0
2023-11-07T00:00:00+05:30,408.44,410.52,410.52,407.92,5428341.0
2023-11-08T00:00:00+05:30,412.45,408.87,412.97,408.06,7394402.0
2023-11-09T00:00:00+05:30,410.05,413.26,413.44,409.57,8248186.0
2023-11-10T00:00:00+05:30,412.08,410.05,413.44,408.25,4321480.0
2023-11-12T00:00:00+05:30,413.87,414.25,414.58,413.44,1251030.0
2023-11-13T00:00:00+05:30,411.56,413.82,413.82,410.61,3967165.0
2023-11-15T00:00:00+05:30,417.17,413.54,417.69,412.97,7878098.0
2023-11-16T00:00:00+05:30,414.06,417.17,419.58,413.07,11502742.0
2023-11-17T00:00:00+05:30,414.62,414.62,416.75,413.73,7050554.0
2023-11-20T00:00:00+05:30,412.31,415.19,415.62,410.14,4592879.0
2023-11-21T00:00:00+05:30,411.79,412.64,414.67,411.08,6354037.0
2023-11-22T00:00:00+05:30,415.05,412.5,415.71,410.42,5176921.0
2023-11-23T00:00:00+05:30,415.66,416.23,417.46,413.68,6744737.0
2023-11-24T00:00:00+05:30,413.26,416.28,417.46,412.36,7227048.0
2023-11-28T00:00:00+05:30,410.85,413.44,414.39,410.52,9265122.0
2023-11-29T00:00:00+05:30,412.69,411.56,413.92,409.81,14603959.0
2023-11-30T00:00:00+05:30,411.37,412.22,413.87,410.14,16025970.0
2023-12-01T00:00:00+05:30,424.58,413.35,425.67,412.88,20485327.0
2023-12-04T00:00:00+05:30,428.59,429.49,430.81,425.72,13560461.0
2023-12-05T00:00:00+05:30,426.42,429.49,432.13,424.87,12857101.0
2023-12-06T00:00:00+05:30,437.28,428.45,438.46,426.75,21630216.0
2023-12-07T00:00:00+05:30,432.42,438.69,438.74,431.76,11982705.0
2023-12-08T00:00:00+05:30,423.97,434.16,435.72,423.36,19776634.0
2023-12-11T00:00:00+05:30,427.08,426.19,428.17,424.11,6991964.0
2023-12-12T00:00:00+05:30,427.7,428.74,434.21,426.99,10761419.0
2023-12-13T00:00:00+05:30,430.1,430.72,433.13,427.7,11954049.0
2023-12-14T00:00:00+05:30,434.31,434.21,435.15,424.25,15224326.0
2023-12-15T00:00:00+05:30,432.51,436.0,437.0,429.49,16727649.0
2023-12-18T00:00:00+05:30,426.33,429.49,430.44,425.1,12741974.0
2023-12-19T00:00:00+05:30,430.53,427.93,432.32,426.71,10878645.0
2023-12-20T00:00:00+05:30,425.72,433.27,433.5,424.11,10983430.0
2023-12-21T00:00:00+05:30,426.14,423.83,428.31,419.53,11817130.0
2023-12-22T00:00:00+05:30,429.68,427.6,430.34,425.29,11681201.0
2023-12-26T00:00:00+05:30,430.86,430.48,433.17,429.21,6220014.0
2023-12-27T00:00:00+05:30,431.47,431.38,432.8,428.31,7991406.0
2023-12-28T00:00:00+05:30,438.08,431.57,438.65,430.53,21925301.0
2023-12-29T00:00:00+05:30,436.19,438.08,441.67,435.49,13653737.0
2024-01-01T00:00:00+05:30,441.81,437.51,443.6,436.71,9901379.0
2024-01-02T00:00:00+05:30,443.98,443.65,444.92,437.61,11144570.0
2024-01-03T00:00:00+05:30,450.49,443.89,453.75,443.04,25463579.0
2024-01-04T00:00:00+05:30,449.69,453.09,454.46,447.61,12487020.0
2024-01-05T00:00:00+05:30,447.38,452.52,452.52,445.54,9756378.0
2024-01-08T00:00:00+05:30,439.4,448.37,448.84,438.51,8478508.0
2024-01-09T00:00:00+05:30,438.51,441.29,443.6,437.66,6035128.0
2024-01-10T00:00:00+05:30,437.33,438.51,440.58,434.26,6246310.0
2024-01-11T00:00:00+05:30,436.71,438.08,440.39,435.25,6922894.0
2024-01-12T00:00:00+05:30,440.54,437.28,441.48,434.54,9909906.0
2024-01-15T00:00:00+05:30,441.38,443.65,444.12,439.97,7312094.0
2024-01-16T00:00:00+05:30,445.82,441.57,448.37,438.22,12783002.0
2024-01-17T00:00:00+05:30,440.44,444.97,450.26,439.12,11768475.0
